path,speaker_id,partition,class
train/0.wav,192,train,1
train/1.wav,192,train,1
train/2.wav,192,train,2
train/3.wav,192,train,2
train/4.wav,192,train,3
train/5.wav,192,train,3
train/6.wav,192,train,4
train/7.wav,192,train,4
train/8.wav,192,train,5
train/9.wav,192,train,5
train/10.wav,192,train,6
train/11.wav,192,train,6
train/12.wav,192,train,7
train/13.wav,192,train,7
train/14.wav,192,train,8
train/15.wav,192,train,8
train/16.wav,192,train,9
train/17.wav,192,train,9
train/18.wav,192,train,10
train/19.wav,192,train,10
train/20.wav,192,train,0
train/21.wav,192,train,0
train/22.wav,199,train,1
train/23.wav,199,train,1
train/24.wav,199,train,2
train/25.wav,199,train,2
train/26.wav,199,train,3
train/27.wav,199,train,3
train/28.wav,199,train,4
train/29.wav,199,train,4
train/30.wav,199,train,5
train/31.wav,199,train,5
train/32.wav,199,train,6
train/33.wav,199,train,6
train/34.wav,199,train,7
train/35.wav,199,train,7
train/36.wav,199,train,8
train/37.wav,199,train,8
train/38.wav,199,train,9
train/39.wav,199,train,9
train/40.wav,199,train,10
train/41.wav,199,train,10
train/42.wav,199,train,0
train/43.wav,199,train,0
train/44.wav,119,train,1
train/45.wav,119,train,1
train/46.wav,119,train,2
train/47.wav,119,train,2
train/48.wav,119,train,3
train/49.wav,119,train,3
train/50.wav,119,train,4
train/51.wav,119,train,4
train/52.wav,119,train,5
train/53.wav,119,train,5
train/54.wav,119,train,6
train/55.wav,119,train,6
train/56.wav,119,train,7
train/57.wav,119,train,7
train/58.wav,119,train,8
train/59.wav,119,train,8
train/60.wav,119,train,9
train/61.wav,119,train,9
train/62.wav,119,train,10
train/63.wav,119,train,10
train/64.wav,119,train,0
train/65.wav,119,train,0
train/66.wav,171,train,1
train/67.wav,171,train,1
train/68.wav,171,train,2
train/69.wav,171,train,2
train/70.wav,171,train,3
train/71.wav,171,train,3
train/72.wav,171,train,4
train/73.wav,171,train,4
train/74.wav,171,train,5
train/75.wav,171,train,5
train/76.wav,171,train,6
train/77.wav,171,train,6
train/78.wav,171,train,7
train/79.wav,171,train,7
train/80.wav,171,train,8
train/81.wav,171,train,8
train/82.wav,171,train,9
train/83.wav,171,train,9
train/84.wav,171,train,10
